TRANSACTION_AMT,OCCUPATION,CMTE_NM,CMTE_PTY_AFFILIATION
2700,STUDENT,HILLARY FOR AMERICA,DEM
2700,STUDENT,HILLARY FOR AMERICA,DEM
2700,STRATEGIC PLANNING MANAGER,HILLARY FOR AMERICA,DEM
2700,SPECIAL ASSISTANT TO THE GENERAL MANAG,HILLARY FOR AMERICA,DEM
2700,SPECIAL ASSISTANT,HILLARY FOR AMERICA,DEM
2700,SOCIAL WORKER,FRIENDS OF JOHN SARBANES,DEM
2700,SOCIAL WORKER,FRIENDS OF JOHN SARBANES,DEM
2700,SOCIAL WORKER,RUSS FOR WISCONSIN,DEM
2700,SOCIAL WORKER,FRIENDS OF JOHN SARBANES,DEM
2700,SOCIAL WORKER,FRIENDS OF JOHN SARBANES,DEM
2700,SOCIAL WORKER,HILLARY FOR AMERICA,DEM
2700,SINGER,FRIENDS OF DON BEYER,DEM
2700,SINGER,FRIENDS OF DON BEYER,DEM
2700,SENIOR VICE PRESIDENT FOR GLOBAL PUBLI,HILLARY FOR AMERICA,DEM
2700,SENIOR VICE PRESIDENT,HILLARY FOR AMERICA,DEM
2700,SENIOR PARTNER,HIMES FOR CONGRESS,DEM
2700,SENIOR PARTNER,FRIENDS OF JOHN DELANEY,DEM
2700,SENIOR INVESTIGATOR,HILLARY FOR AMERICA,DEM
2700,SENIOR FELLOW,HILLARY FOR AMERICA,DEM
2700,SENIOR EXECUTIVE VICE PRESIDENT,HILLARY FOR AMERICA,DEM
2700,SENIOR COUNSEL,HILLARY FOR AMERICA,DEM
2700,SENIOR COUNSEL,HILLARY FOR AMERICA,DEM
2700,SENIOR ADVISOR,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,SENIOR ADVISOR,HILLARY FOR AMERICA,DEM
2700,SENIOR ADVISER,HILLARY FOR AMERICA,DEM
2700,SENATOR,JOSELINE PENA-MELNYK FOR CONGRESS,DEM
2700,SCIENTIST,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
2700,SCHOLAR,HILLARY FOR AMERICA,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,BLUMENTHAL FOR CONNECTICUT,DEM
2700,RETIRED,GLENN IVEY FOR CONGRESS,DEM
2700,RETIRED,ANTHONY BROWN FOR CONGRESS,DEM
2700,RETIRED,BARVE FOR CONGRESS,DEM
2700,RETIRED,BARVE FOR CONGRESS,DEM
2700,RETIRED,STABENOW FOR US SENATE,DEM
2700,RETIRED,STABENOW FOR US SENATE,DEM
2700,RETIRED,BILL FOSTER FOR CONGRESS,DEM
2700,RETIRED,SCHNEIDER FOR CONGRESS,DEM
2700,RETIRED,FRIENDS OF JOHN DELANEY,DEM
2700,RETIRED,FRIENDS OF JOHN DELANEY,DEM
2700,RETIRED,FRIENDS OF JOHN DELANEY,DEM
2700,RETIRED,FRIENDS OF JOHN DELANEY,DEM
2700,RETIRED,TAMMY FOR ILLINOIS,DEM
2700,RETIRED,TAMMY FOR ILLINOIS,DEM
2700,RETIRED,JAMIE RASKIN FOR CONGRESS,DEM
2700,RETIRED,ERIC LYNN FOR CONGRESS,DEM
2700,RETIRED,DONNA EDWARDS FOR SENATE,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,HILLARY FOR AMERICA,DEM
2700,RETIRED,GLENN IVEY FOR CONGRESS,DEM
2700,RETIRED,GLENN IVEY FOR CONGRESS,DEM
2700,RETIRED,DAVIS FOR CONGRESS,DEM
2700,RETIRED,DAVIS FOR CONGRESS,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RETIRED,FRIENDS OF JOHN SARBANES,DEM
2700,RESTAURANT DEVELOPMENT/HOLDINGS,FRIENDS OF JOHN DELANEY,DEM
2700,RESEARCHER,HILLARY FOR AMERICA,DEM
2700,RESEARCHER,HILLARY FOR AMERICA,DEM
2700,REALESTATE,PATEL FOR IOWA,DEM
2700,REAL ESTATE MANAGEMENT,ANA SOL-GUTIERREZ FOR CONGRESS,DEM
2700,REAL ESTATE INVESTOR,JAMIE RASKIN FOR CONGRESS,DEM
2700,REAL ESTATE INVESTOR,JAMIE RASKIN FOR CONGRESS,DEM
2700,REAL ESTATE INVESTMENT,FRIENDS OF JOHN DELANEY,DEM
2700,REAL ESTATE EXECUTIVE,FRIENDS OF JOHN SARBANES,DEM
2700,REAL ESTATE EXECUTIVE,FRIENDS OF JOHN SARBANES,DEM
2700,REAL ESTATE DEVELOPER,HILLARY FOR AMERICA,DEM
2700,REAL ESTATE AGENT,ERIC LYNN FOR CONGRESS,DEM
2700,REAL ESTATE,FRIENDS OF JOHN SARBANES,DEM
2700,REAL ESTATE,FRIENDS OF JOHN SARBANES,DEM
2700,REAL ESTATE,WILL JAWANDO FOR CONGRESS,DEM
2700,REAL ESTATE,HILLARY FOR AMERICA,DEM
2700,REAL ESTATE,HILLARY FOR AMERICA,DEM
2700,REAL ESTATE,JAMIE RASKIN FOR CONGRESS,DEM
2700,PUBLIC RELATIONS,JOSH GOTTHEIMER FOR CONGRESS,DEM
2700,PUBLIC RELATIONS,JOSH GOTTHEIMER FOR CONGRESS,DEM
2700,PUBLIC RELATIONS,SEAN BARNEY FOR CONGRESS,DEM
2700,PUBLIC AFFAIRS,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,PSYCHOTHERAPIST,HILLARY FOR AMERICA,DEM
2700,PSYCHOLOGIST,HILLARY FOR AMERICA,DEM
2700,PSYCHOLOGIST,HILLARY FOR AMERICA,DEM
2700,PROPERTY MANAGEMENT,JAMIE RASKIN FOR CONGRESS,DEM
2700,PROGRAM DIRECTOR,JAMIE RASKIN FOR CONGRESS,DEM
2700,PROFESSOR,FRIENDS OF JOHN SARBANES,DEM
2700,PROFESSOR,BILL FOSTER FOR CONGRESS,DEM
2700,PROFESSOR,BILL FOSTER FOR CONGRESS,DEM
2700,PROFESSOR,JAMIE RASKIN FOR CONGRESS,DEM
2700,PROFESSOR,JAMIE RASKIN FOR CONGRESS,DEM
2700,PROFESSOR,JAMIE RASKIN FOR CONGRESS,DEM
2700,PROFESSOR,JAMIE RASKIN FOR CONGRESS,DEM
2700,PROFESSOR,FRIENDS OF JOHN SARBANES,DEM
2700,PROFESSOR,HILLARY FOR AMERICA,DEM
2700,PROFESSOR,HILLARY FOR AMERICA,DEM
2700,PROFESSOR,HILLARY FOR AMERICA,DEM
2700,PRO BONO ATTORNEY,FRIENDS OF DON BEYER,DEM
2700,PRINTER,HILLARY FOR AMERICA,DEM
2700,PRINCIPAL ENGINEER/CONSULTANT,JAMIE RASKIN FOR CONGRESS,DEM
2700,PRINCIPAL,HILLARY FOR AMERICA,DEM
2700,PRINCIPAL,HILLARY FOR AMERICA,DEM
2700,PRINCIPAL,HILLARY FOR AMERICA,DEM
2700,PRINCIPAL,HILLARY FOR AMERICA,DEM
2700,PRINCIPAL,HILLARY FOR AMERICA,DEM
2700,PRINCIPAL,MUROFF FOR CONGRESS,DEM
2700,PRINCIPAL,DAVIS FOR CONGRESS,DEM
2700,PRESIDENT/CEO,FRIENDS OF JOHN SARBANES,DEM
2700,PRESIDENT/CEO,FRIENDS OF JOHN SARBANES,DEM
2700,PRESIDENT/CEO,FRIENDS OF PATRICK MURPHY,DEM
2700,PRESIDENT/CEO,FRIENDS OF PATRICK MURPHY,DEM
2700,PRESIDENT/CEO,ANTHONY BROWN FOR CONGRESS,DEM
2700,PRESIDENT/CEO,TIM RYAN FOR CONGRESS,DEM
2700,"PRESIDENT, MEDIA SOLUTIONS",HILLARY FOR AMERICA,DEM
2700,"PRESIDENT, CEO",BENNET FOR COLORADO,DEM
2700,PRESIDENT AND CEO,WYDEN FOR SENATE,DEM
2700,PRESIDENT AND CEO,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,PRESIDENT & CEO,FRIENDS OF JOHN DELANEY,DEM
2700,PRESIDENT & CEO,HILLARY FOR AMERICA,DEM
2700,PRESIDENT & CEO,HILLARY FOR AMERICA,DEM
2700,PRESIDENT & CEO,HILLARY FOR AMERICA,DEM
2700,PRESIDENT & CEO,HILLARY FOR AMERICA,DEM
2700,PRESIDENT & CEO,HILLARY FOR AMERICA,DEM
2700,PRESIDENT & CEO,HOYER FOR CONGRESS,DEM
2700,PRESIDENT,GLENN IVEY FOR CONGRESS,DEM
2700,PRESIDENT,DONNA EDWARDS FOR SENATE,DEM
2700,PRESIDENT,DONNA EDWARDS FOR SENATE,DEM
2700,PRESIDENT,DONNA EDWARDS FOR SENATE,DEM
2700,PRESIDENT,DONNA EDWARDS FOR SENATE,DEM
2700,PRESIDENT,ANTHONY BROWN FOR CONGRESS,DEM
2700,PRESIDENT,FRIENDS OF JOHN DELANEY,DEM
2700,PRESIDENT,JAMIE RASKIN FOR CONGRESS,DEM
2700,PRESIDENT,WILL JAWANDO FOR CONGRESS,DEM
2700,PRESIDENT,WILL JAWANDO FOR CONGRESS,DEM
2700,PRESIDENT,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,PRESIDENT,DONNA EDWARDS FOR SENATE,DEM
2700,PRESIDENT,DONNA EDWARDS FOR SENATE,DEM
2700,PRESIDENT,FRIENDS OF JOHN SARBANES,DEM
2700,PRESIDENT,FRIENDS OF JOHN SARBANES,DEM
2700,PRESIDENT,JOSELINE PENA-MELNYK FOR CONGRESS,DEM
2700,PRESIDENT,JOSELINE PENA-MELNYK FOR CONGRESS,DEM
2700,PRESIDENT,HILLARY FOR AMERICA,DEM
2700,PRESIDENT,HILLARY FOR AMERICA,DEM
2700,PRESIDENT,HILLARY FOR AMERICA,DEM
2700,PRESIDENT,HILLARY FOR AMERICA,DEM
2700,PRESIDENT,HILLARY FOR AMERICA,DEM
2700,PRESIDENT,HILLARY FOR AMERICA,DEM
2700,PRESIDENT,HILLARY FOR AMERICA,DEM
2700,PRESIDENT,GLENN IVEY FOR CONGRESS,DEM
2700,PRESIDENT,FRIENDS OF DON BEYER,DEM
2700,PRESIDENT,FRIENDS OF DON BEYER,DEM
2700,PRESIDENT,WYDEN FOR SENATE,DEM
2700,PRESIDENT,DAVIS FOR CONGRESS,DEM
2700,PRESIDENT,HOYER FOR CONGRESS,DEM
2700,PRESIDENT,HOYER FOR CONGRESS,DEM
2700,PRESIDENT,FRIENDS OF JOHN SARBANES,DEM
2700,PRESIDENT,FRIENDS OF JOHN SARBANES,DEM
2700,POLITICAL CONSULTANT,HILLARY FOR AMERICA,DEM
2700,PHYSICIST,HOYER FOR CONGRESS,DEM
2700,PHYSICIAN,COOPER FOR CONGRESS,DEM
2700,PHYSICIAN,COOPER FOR CONGRESS,DEM
2700,PHYSICIAN,JAMIE RASKIN FOR CONGRESS,DEM
2700,PHYSICIAN,JAMIE RASKIN FOR CONGRESS,DEM
2700,PHYSICIAN,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,PHYSICIAN,BENNET FOR COLORADO,DEM
2700,PHYSICIAN,FRIENDS OF JOHN SARBANES,DEM
2700,PHYSICIAN,FRIENDS OF JOHN SARBANES,DEM
2700,PHYSICIAN,FRIENDS OF JOHN SARBANES,DEM
2700,PHYSICIAN,FRIENDS OF JOHN SARBANES,DEM
2700,PHYSICIAN,HILLARY FOR AMERICA,DEM
2700,PHYSICIAN,HOYER FOR CONGRESS,DEM
2700,PHYSICIAN,HOYER FOR CONGRESS,DEM
2700,PHYSICIAN,HOYER FOR CONGRESS,DEM
2700,PHYSICIAN,FRIENDS OF JOHN SARBANES,DEM
2700,PASTOR,HILLARY FOR AMERICA,DEM
2700,PARTNER & FOUNDER,HOYER FOR CONGRESS,DEM
2700,PARTNER,MIKE THOMPSON FOR CONGRESS,DEM
2700,PARTNER,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,PARTNER,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,PARTNER,HILLARY FOR AMERICA,DEM
2700,PARTNER,HILLARY FOR AMERICA,DEM
2700,PARTNER,HILLARY FOR AMERICA,DEM
2700,PARTNER,HILLARY FOR AMERICA,DEM
2700,PARTNER,HILLARY FOR AMERICA,DEM
2700,PARTNER,HILLARY FOR AMERICA,DEM
2700,PARTNER,HILLARY FOR AMERICA,DEM
2700,PARTNER,HILLARY FOR AMERICA,DEM
2700,PARTNER,CORY BOOKER FOR SENATE,DEM
2700,PARTNER,CORY BOOKER FOR SENATE,DEM
2700,PARTNER,DAVIS FOR CONGRESS,DEM
2700,PARKING OPERATOR,HILLARY FOR AMERICA,DEM
2700,"PALISADES ASSOCIATES, INC.",SCHNEIDER FOR CONGRESS,DEM
2700,OWNER AND CEO,HILLARY FOR AMERICA,DEM
2700,OWNER,BLUMENTHAL FOR CONNECTICUT,DEM
2700,OWNER,ANTHONY BROWN FOR CONGRESS,DEM
2700,OWNER,ANTHONY BROWN FOR CONGRESS,DEM
2700,OWNER,FRIENDS OF JOHN DELANEY,DEM
2700,OWNER,FRIENDS OF JOHN DELANEY,DEM
2700,OWNER,BARVE FOR CONGRESS,DEM
2700,OWNER,JAMIE RASKIN FOR CONGRESS,DEM
2700,OWNER,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,OWNER,HILLARY FOR AMERICA,DEM
2700,OWNER,HILLARY FOR AMERICA,DEM
2700,OWNER,HILLARY FOR AMERICA,DEM
2700,OWNER,JAMIE RASKIN FOR CONGRESS,DEM
2700,OWNER,DAVIS FOR CONGRESS,DEM
2700,OWNER,DAVIS FOR CONGRESS,DEM
2700,OWNER,DAVIS FOR CONGRESS,DEM
2700,OWNER,DAVIS FOR CONGRESS,DEM
2700,ORTHODONTIST,HILLARY FOR AMERICA,DEM
2700,ORTHODONTIST,HILLARY FOR AMERICA,DEM
2700,ORAL SURGEON,HILLARY FOR AMERICA,DEM
2700,ORAL SURGEON,HILLARY FOR AMERICA,DEM
2700,ORAL AND MAXILLOFACIAL SURGEON,HILLARY FOR AMERICA,DEM
2700,OPERATING PARTNER,ANGIE CRAIG FOR CONGRESS,DEM
2700,OPERATING PARTNER,ANGIE CRAIG FOR CONGRESS,DEM
2700,OF COUNSEL,HILLARY FOR AMERICA,DEM
2700,NURSE,DONNA EDWARDS FOR SENATE,DEM
2700,NURSE,DONNA EDWARDS FOR SENATE,DEM
2700,NOT EMPLOYED,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,NOT EMPLOYED,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,NOT EMPLOYED,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,NOT EMPLOYED,HILLARY FOR AMERICA,DEM
2700,NOT EMPLOYED,HILLARY FOR AMERICA,DEM
2700,NOT EMPLOYED,HILLARY FOR AMERICA,DEM
2700,NOT EMPLOYED,HILLARY FOR AMERICA,DEM
2700,NOT EMPLOYED,HILLARY FOR AMERICA,DEM
2700,NOT EMPLOYED,HILLARY FOR AMERICA,DEM
2700,NOT EMPLOYED,DAVIS FOR CONGRESS,DEM
2700,NONPROFIT DIRECTOR,HILLARY FOR AMERICA,DEM
2700,NON PROFIT,FRIENDS OF JOHN SARBANES,DEM
2700,NON PROFIT,FRIENDS OF JOHN SARBANES,DEM
2700,NGO PRESIDENT,HILLARY FOR AMERICA,DEM
2700,NATIONAL FIELD DIRECTOR,HILLARY FOR AMERICA,DEM
2700,MULTIMEDIA CONSULTANT,FRIENDS OF SHAUGHNESSY NAUGHTON,DEM
2700,MERCHANT BANKER,ERIC LYNN FOR CONGRESS,DEM
2700,MERCHANT,HILLARY FOR AMERICA,DEM
2700,MEMBER,GLENN IVEY FOR CONGRESS,DEM
2700,MEMBER,HILLARY FOR AMERICA,DEM
2700,MEMBER,HILLARY FOR AMERICA,DEM
2700,MEDICAL RESEARCHER,JAMIE RASKIN FOR CONGRESS,DEM
2700,MEDIA INVESTMENT BANKER,HILLARY FOR AMERICA,DEM
2700,MD,ANGIE CRAIG FOR CONGRESS,DEM
2700,MD,ANGIE CRAIG FOR CONGRESS,DEM
2700,MD,HILLARY FOR AMERICA,DEM
2700,MD,HILLARY FOR AMERICA,DEM
2700,MD,HILLARY FOR AMERICA,DEM
2700,MD,HILLARY FOR AMERICA,DEM
2700,MD,HILLARY FOR AMERICA,DEM
2700,MD,HILLARY FOR AMERICA,DEM
2700,MD,HILLARY FOR AMERICA,DEM
2700,MD,DR. MATT HEINZ FOR ARIZONA,DEM
2700,MAYOR,CICILLINE COMMITTEE,DEM
2700,MAYOR,CICILLINE COMMITTEE,DEM
2700,MARKETING CONSULTANT,JAMIE RASKIN FOR CONGRESS,DEM
2700,MARKET RESEARCHER,JAMIE RASKIN FOR CONGRESS,DEM
2700,MANAGING PARTNER,FRIENDS OF JOHN SARBANES,DEM
2700,MANAGING PARTNER,FRIENDS OF JOHN SARBANES,DEM
2700,MANAGING MEMBER,HILLARY FOR AMERICA,DEM
2700,MANAGING DIRECTOR,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,MANAGING DIRECTOR,HILLARY FOR AMERICA,DEM
2700,MANAGING DIRECTOR,HILLARY FOR AMERICA,DEM
2700,MANAGING DIRECTOR,HILLARY FOR AMERICA,DEM
2700,MANAGING DIRECTOR,HILLARY FOR AMERICA,DEM
2700,MANAGING DIRECTOR,HILLARY FOR AMERICA,DEM
2700,MANAGING DIRECTOR,WYDEN FOR SENATE,DEM
2700,MANAGER,TULSI FOR HAWAI'I,DEM
2700,MANAGER,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,MANAGER,HILLARY FOR AMERICA,DEM
2700,MANAGER,HILLARY FOR AMERICA,DEM
2700,MANAGER,HILLARY FOR AMERICA,DEM
2700,MANAGER,DAVIS FOR CONGRESS,DEM
2700,MANAGEMENT CONSULTANT,HILLARY FOR AMERICA,DEM
2700,MANAGEMENT,PATEL FOR IOWA,DEM
2700,LOGISTICS COORDINATOR,HILLARY FOR AMERICA,DEM
2700,LOBBYIST,WYDEN FOR SENATE,DEM
2700,LOBBYIST,STABENOW FOR US SENATE,DEM
2700,LOBBYIST,JAMIE RASKIN FOR CONGRESS,DEM
2700,LOBBYIST,JAMIE RASKIN FOR CONGRESS,DEM
2700,LOBBYIST,WYDEN FOR SENATE,DEM
2700,LOBBYIST,HILLARY FOR AMERICA,DEM
2700,LOBBYIST,HILLARY FOR AMERICA,DEM
2700,LOBBYIST,HILLARY FOR AMERICA,DEM
2700,LOBBYIST,HILLARY FOR AMERICA,DEM
2700,LOBBYIST,HILLARY FOR AMERICA,DEM
2700,LOBBYIST,JAMIE RASKIN FOR CONGRESS,DEM
2700,LOBBYIST,DAVIS FOR CONGRESS,DEM
2700,LOBBYIST,DAVIS FOR CONGRESS,DEM
2700,LIFE INSURANCE AGENT,HILLARY FOR AMERICA,DEM
2700,LEGAL CONSULTANT,HILLARY FOR AMERICA,DEM
2700,LAYWER,HILLARY FOR AMERICA,DEM
2700,LAYER/ECONOMIST,HILLARY FOR AMERICA,DEM
2700,LAWYER/CONSULTANT,HILLARY FOR AMERICA,DEM
2700,LAWYER,ANTHONY BROWN FOR CONGRESS,DEM
2700,LAWYER,ANTHONY BROWN FOR CONGRESS,DEM
2700,LAWYER,JOSELINE PENA-MELNYK FOR CONGRESS,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
2700,LAWYER,HILLARY FOR AMERICA,DEM
